day_of_year;Seasonal
1;-4.407981603534246
2;19.753912239717568
3;13.568592667402216
4;10.903221026785662
5;31.31123838739995
6;42.89272758297101
7;54.47421518695231
8;37.128192859201846
9;52.5666784430444
10;51.61290774729122
11;53.551886357506504
12;46.812610944865966
13;40.073334029594534
14;24.621978106168243
15;24.573229935180418
16;32.39074801299502
17;38.18671882960125
18;30.539908542095127
19;26.793518259330728
20;34.36111652381833
21;26.65757772105111
22;20.882538068252735
23;30.535501473420467
24;32.474461259072
25;23.80666659700911
26;11.281869444228017
27;18.04207649281666
28;14.195529114001811
29;6.491979263786374
30;16.144933076191045
31;22.905134707073003
32;20.974779190411322
33;53.646083980233385
34;50.89973380398041
35;39.339174808626424
36;7.5293586414637765
37;25.860555641059992
38;29.72799714804423
39;40.236520652101525
40;37.17702243503797
41;19.152557411612325
42;-2.7992389297799565
43;-10.151950530472917
44;16.29110819529203
45;-2.01921581316205
46;-16.47253999841441
47;-2.9626073947747553
48;23.0825775425429
49;32.73550645841257
50;14.425176011564355
51;35.64910570211501
52;32.766777146566966
53;26.99169647414839
54;28.930616749868285
55;46.36782933267483
56;21.429452827376384
57;1.9628604316115488
58;27.043782277939698
59;23.197194489788284
60;28.02885793091543
61;19.361016194576667
62;15.514424573255067
63;-6.652923618518571
64;6.856987218108807
65;17.474145940623185
66;5.913546977531035
67;-1.790052150650367
68;14.612604405188272
69;18.480006059331988
70;-7.544352202906229
71;-15.247956454541168
72;19.363152380403736
73;14.75910526022546
74;21.420346731236197
75;-2.7178034615590634
76;0.17999355524167784
77;-12.032227834081594
78;-7.461204349790028
79;24.156904027339678
80;-2.4280815639199838
81;-7.077539965979687
82;6.278313260600574
83;-6.445028480884195
84;-3.3243244087213557
85;-17.423273707122387
86;8.049865597951477
87;16.956212753780267
88;1.8932643353637209
89;-13.132512215930017
90;-7.336637016018796
91;-5.397764219508569
92;-16.12608827563927
93;11.62039395477035
94;-2.4739044082573156
95;8.143215731087054
96;-5.324429379837767
97;5.557361632452336
98;-17.860449038649545
99;-22.67133889918768
100;-2.411722818739521
101;-1.4866350490413198
102;-16.479017055204228
103;-17.808654390857978
104;-12.977047972278685
105;-13.930944526572814
106;-13.87683077576004
107;-6.56402749186312
108;0.753795239651121
109;-12.414307716150567
110;-10.022194333521792
111;7.3883176318440755
112;2.917667514064092
113;-10.554098388066217
114;19.91094003986831
115;-0.5152049364777895
116;-1.9307466383643133
117;2.864129307748752
118;-2.282308623162453
119;-18.391625715491546
120;-9.918794488630326
121;-1.2302092672593625
122;-5.076878997883558
123;-17.601802568606946
124;-4.091969953850949
125;0.7396088159206579
126;-8.892567933178475
127;-3.046086902819523
128;29.474764390840367
129;14.912901008620674
130;-7.040255892716174
131;-6.37373296977251
132;-9.658431365829733
133;-5.209015973133961
134;-13.631259635299113
135;10.485311167760845
136;5.674372242259537
137;-11.671821680126405
138;-4.076876079740818
139;-2.3606192321409565
140;-18.39064864774783
141;-21.273093933117124
142;-14.45701186697037
143;-4.031932198121405
144;-5.152798748063368
145;-9.660882380263367
146;3.8489200543305357
147;-11.568787282516068
148;-8.66574074549116
149;6.847601356630716
150;-18.008689578316094
151;-18.019170197094812
152;-10.288924858365553
153;-10.500051918948868
154;-14.770001484024526
155;-20.1088130684577
156;-6.499846525863816
157;-5.681207577080416
158;-13.393419400181251
159;-8.56056425439871
160;-3.701507438190018
161;-3.450430059148941
162;-19.155363554016173
163;-18.281244191396247
164;-11.148080985482952
165;-7.580118488544944
166;-4.378121153760609
167;-9.434648548668187
168;-16.17413422988873
169;-20.02087061057636
170;-11.366210361517854
171;-10.806429597227757
172;-5.560243253041171
173;-8.80448825427196
174;-8.59198203989375
175;-14.774927878338891
176;-14.81427061309427
177;-7.748088567182408
178;-16.414700847844387
179;-16.90024171761605
180;-20.944805741332345
181;-12.183813808822997
182;-12.095314260011113
