cluster;n_samples;percentage;J-60_mean;J-60_std;J-59_mean;J-59_std;J-58_mean;J-58_std;J-57_mean;J-57_std;J-56_mean;J-56_std;J-55_mean;J-55_std;J-54_mean;J-54_std;J-53_mean;J-53_std;J-52_mean;J-52_std;J-51_mean;J-51_std;J-50_mean;J-50_std;J-49_mean;J-49_std;J-48_mean;J-48_std;J-47_mean;J-47_std;J-46_mean;J-46_std;J-45_mean;J-45_std;J-44_mean;J-44_std;J-43_mean;J-43_std;J-42_mean;J-42_std;J-41_mean;J-41_std;J-40_mean;J-40_std;J-39_mean;J-39_std;J-38_mean;J-38_std;J-37_mean;J-37_std;J-36_mean;J-36_std;J-35_mean;J-35_std;J-34_mean;J-34_std;J-33_mean;J-33_std;J-32_mean;J-32_std;J-31_mean;J-31_std;J-30_mean;J-30_std;J-29_mean;J-29_std;J-28_mean;J-28_std;J-27_mean;J-27_std;J-26_mean;J-26_std;J-25_mean;J-25_std;J-24_mean;J-24_std;J-23_mean;J-23_std;J-22_mean;J-22_std;J-21_mean;J-21_std;J-20_mean;J-20_std;J-19_mean;J-19_std;J-18_mean;J-18_std;J-17_mean;J-17_std;J-16_mean;J-16_std;J-15_mean;J-15_std;J-14_mean;J-14_std;J-13_mean;J-13_std;J-12_mean;J-12_std;J-11_mean;J-11_std;J-10_mean;J-10_std;J-9_mean;J-9_std;J-8_mean;J-8_std;J-7_mean;J-7_std;J-6_mean;J-6_std;J-5_mean;J-5_std;J-4_mean;J-4_std;J-3_mean;J-3_std;J-2_mean;J-2_std;J-1_mean;J-1_std;J-0_mean;J-0_std
0;197;13.474692202462379;0.21025300608912162;0.2024385981864179;0.21234832609607887;0.20258883277210127;0.21388415342689598;0.20324063531434255;0.21498195198779949;0.20383683016625812;0.21576318568501598;0.20416877621641205;0.21634931842477195;0.20423862998759792;0.21686181411329394;0.2041521837799555;0.2174221366568096;0.20404138980534547;0.21821283165500063;0.20416165389080018;0.2194950463028829;0.20447053054248346;0.22124478009282975;0.20476880574274853;0.22344200890098004;0.2051449345853048;0.22602113273538824;0.20539080428453588;0.22882272316841745;0.20549471273753045;0.23237335253503222;0.20634734618880773;0.23607249918433731;0.2076494892149518;0.23960005129669684;0.20883295143293928;0.24289313469538623;0.21013192778574616;0.24577310736077693;0.21152330506225137;0.24786543932113558;0.2128127089681739;0.2491964803242075;0.21364324635058438;0.2502540673964579;0.21416267877224776;0.2511901567351957;0.21436571922565434;0.2520898908633425;0.21405458233702257;0.2531104407911544;0.21356176634193513;0.2543253361715332;0.21316272493891583;0.256129882834798;0.21310931578747405;0.2586120830129408;0.21350948983199367;0.2615245876027895;0.2139980832643079;0.26456504208543247;0.21444864107378575;0.267966572614421;0.21467171008033162;0.2712572187912137;0.21461608979972358;0.27444203222021174;0.2143639014651855;0.27751127624558175;0.2139854449416823;0.28062875332312465;0.21372988882774882;0.2845157831833496;0.21388660531358292;0.2892566701999998;0.2138298638940151;0.29495048275130403;0.21342944073553716;0.3016114863411566;0.21333152210072595;0.3088079523899376;0.21344441774511397;0.3168634302308444;0.2138137771013385;0.3251796571432456;0.21449434556785618;0.33374166013256107;0.2153019116596665;0.3429079856222172;0.21636066795049497;0.3521889420260361;0.21761073014067295;0.36099116961080346;0.21830460849801372;0.3700467152833474;0.2183146600180076;0.3794561837043613;0.21773816711294997;0.3898950656428671;0.21570537309515248;0.40247138269735183;0.21294428913634747;0.41746083559404423;0.21071685115923483;0.43481801833751693;0.2104256792744837;0.45502830087179774;0.21235215069231309;0.4785341853531966;0.21624425681915746;0.5050400264673603;0.22125583151561945;0.5339928310182149;0.22649111842087669;0.5652400413236293;0.23043929643098734;0.5986290997014753;0.23183254643242857;0.6340074484696239;0.23032880346910967;0.671222529945947;0.22752939373690328;0.7101217864483156;0.2284651194097358
1;65;4.4459644322845415;0.5257950983742272;0.2422386813743183;0.5371737297998332;0.23603494623165575;0.5478930144283464;0.2334278120234357;0.5579848850820547;0.2324691581071428;0.5674812745832465;0.23202943017600472;0.5764141157542096;0.2315728974629916;0.5848153414172322;0.23092068571293034;0.5927168843946057;0.2300588244185403;0.6002020053881713;0.2289059576914008;0.6072639590679237;0.22680755296789754;0.6136069805563549;0.22485426391735377;0.6197961699996647;0.22313690329662922;0.6258019810138418;0.22110253305847227;0.6314033925954119;0.2196249512187045;0.6363750065213432;0.2188605510445687;0.6412117992061104;0.2183784720349912;0.6453998724029715;0.21861016776827435;0.6491222079611618;0.21928021507099352;0.6527897581801704;0.22009128994585875;0.6561884316177382;0.22145861058629407;0.6593251945502966;0.2232402538442942;0.6620672950793824;0.22432867020792482;0.6648517149017414;0.2242779726086207;0.6677747327567636;0.2236997411888574;0.6703874828454189;0.2227245044097676;0.6727051287734347;0.2211454206350954;0.6753607908530559;0.2193373217749034;0.678445701271107;0.21779663100440397;0.6820592265331668;0.2166643027007604;0.6860836311071679;0.21557687150701005;0.6894838596972553;0.2148263828654691;0.6923694697234088;0.21380805463080396;0.6948622248789814;0.21260797584658644;0.6968653591497687;0.21153848446852563;0.6982262570031763;0.2108249290588976;0.699368328649196;0.2101060200929914;0.6997720919914798;0.20978921460383285;0.6995460191814549;0.20974289424244738;0.6987850472591969;0.20981148506947472;0.6973337094719885;0.21066626266323826;0.6960068516215299;0.21278258580822226;0.6948763072716875;0.21564939082930887;0.693673781422667;0.21898732419328104;0.6921929131579779;0.22179580844610264;0.690054531242798;0.22383292830965074;0.6878306184490498;0.22459330881250208;0.6854148335221613;0.224527143578551;0.6823888141684233;0.22426147689470172;0.6783211786619756;0.2242709938374618;0.6739965225072561;0.2236640807020863;0.6681264893642168;0.2225575468914442;0.6610099108210348;0.2212665814808451;0.6536529434620673;0.22015924719525934;0.645938836138828;0.2192483457110555;0.6385597892656609;0.21872899143015842;0.6323855991955979;0.21823949877076962;0.627978773566384;0.2175004481832107;0.6259018200157677;0.21625491289259488;0.6267172461814974;0.2144371803039759;0.6309875597013215;0.21241018111551244;0.6392752682129889;0.2112805700254559
2;852;58.276333789329684;0.23830787639374287;0.17547068741008653;0.24230997331591325;0.17443148054356383;0.24652920005034273;0.17429340019140332;0.25094785716319556;0.17455077489102303;0.25554824522063563;0.1749784630244224;0.26031266478882725;0.17551699434934373;0.26522341643393443;0.17617951230899662;0.2702628007221227;0.17698503865704857;0.2754094854708563;0.17786043751162384;0.2804828572771473;0.17867480310794626;0.28570107302223147;0.1794909538962708;0.29106898003582;0.18030357462296642;0.29657991685350205;0.18122363370344274;0.30232635165231975;0.18210056537774166;0.308352260108446;0.18291393578746545;0.3147059313535662;0.18357333130222633;0.32139572219504237;0.18420601646132334;0.3283267146583056;0.18489306577794967;0.3353937514077041;0.1855438989235035;0.3426910266847905;0.1862216152024861;0.35023247564783877;0.186691982790763;0.3580335819787901;0.18690573381003173;0.3660583297610554;0.1867812628276781;0.37435567000488057;0.18632541904016492;0.3829533854376329;0.18575737451765378;0.39190937618237554;0.1849842866750486;0.4013261706623402;0.18394172021166433;0.4115934577506958;0.18268977809242928;0.42271546176328284;0.1813745561898677;0.4345926643438832;0.18004502495781566;0.44691811389151426;0.17879237092394004;0.4594104989662131;0.1776033140179788;0.4720208220014713;0.17644028913673776;0.48480180697224007;0.17513084865392906;0.4979547818619605;0.17353347293949847;0.5113798570761932;0.1717897563919471;0.5249733219012763;0.17029860499640312;0.5384671938362663;0.16906635285448707;0.5515627019475979;0.1680023502842511;0.5644123827814295;0.1670328118079985;0.5772547194599253;0.1658553986225703;0.5904112894018388;0.16415095109742606;0.603842657271291;0.16199148383837164;0.6173575438373508;0.1595711400149137;0.6305025200568464;0.15685275208197233;0.6429424722029656;0.15408773779272444;0.6545718854623396;0.15171628727027053;0.665748557858789;0.14971560849387622;0.6767210757510387;0.14819325885476126;0.6874122515362379;0.1470647788953268;0.6977491244959875;0.14624794931800802;0.7075167186454883;0.14555167025810553;0.7171464510988771;0.14514165385088576;0.7270546028491498;0.14516376312370494;0.7378162631619808;0.14541775135581878;0.7495379438024976;0.14583798273988927;0.7624788397711211;0.1459182913177413;0.7768981460682752;0.1451749607282008;0.793055057694385;0.14351352191251832;0.8112087696498747;0.141777041035596;0.831618476935169;0.1424936126825394
3;26;1.7783857729138166;0.633214376122087;0.22780120260244374;0.6168964080084487;0.2348189849217836;0.6044858598286922;0.2450210427134544;0.595451154513017;0.2548801017778747;0.5892607149916231;0.2627650556375793;0.5853829641947104;0.2681927118913703;0.5832863250524782;0.2713104889548501;0.5824392204951295;0.27258622179129555;0.5800955874895888;0.2742747086293717;0.5799510831385994;0.27337653058392225;0.5796478071890715;0.27311847035312126;0.5793626876165244;0.27430454312749486;0.5796861577885153;0.2746422958447916;0.5785802651306592;0.27525081139901575;0.5764752389433143;0.2753960043038002;0.5727448899485489;0.2762146301011421;0.5689328330961224;0.27719796627265064;0.5655953409890612;0.2780424460032259;0.5613176445962244;0.27924980925822934;0.5556442413794855;0.28088731601128925;0.5483831157060616;0.28408052943822754;0.5402792889284194;0.2878435737955603;0.532157937031968;0.2920035139433894;0.5264689109046355;0.2963311150563648;0.5232266229012856;0.30056892773368193;0.5228822986477834;0.30406198854932487;0.5239373912938835;0.3050259399342757;0.5255954199726651;0.30502028810669257;0.5277566393530813;0.3044386869078504;0.5307289962481915;0.30426490993331173;0.5356291738517789;0.3029403122784883;0.5405213935504031;0.30241791627074976;0.544065286397388;0.3023233285818972;0.5473655539488717;0.3013258368481098;0.5502243754968886;0.299901929580666;0.5527354266867476;0.2978406020399735;0.5557056548666938;0.2956055119551812;0.559920275422692;0.2937535656070978;0.5639541152621655;0.29192570331713386;0.5678097799469407;0.290422977488659;0.5706109947711534;0.2891773330973856;0.5736270341313526;0.28867735689692126;0.5766522552692689;0.288344336983025;0.5802118222344448;0.2884581372595225;0.58338472015539;0.28828599909972824;0.5863092310072056;0.2881287092513631;0.5890045578074978;0.28753521286318995;0.5914255933491314;0.28707128506849805;0.5915216205044227;0.2915984161101423;0.5912555387379241;0.2967203540423366;0.5922673713580446;0.29863485140997603;0.5957715647643649;0.29228378734115734;0.6024746030624946;0.2792044084914617;0.6122427272392507;0.2621750398537744;0.6238708445262993;0.24417527771056421;0.6378503335026114;0.2271079631568218;0.6541838515468675;0.2119305653959808;0.6728740560377511;0.19886736625722012;0.6939236043539452;0.18766662052396751;0.7173351538741338;0.17841458473775626;0.7431113619770002;0.17300289150869624
4;322;22.024623803009575;0.3768016397210591;0.21332694286757392;0.3841458386248495;0.20928617399398236;0.3922456273128262;0.20706226484970827;0.40106877898671633;0.20543758964876024;0.41058306684824714;0.20394076797052005;0.4207562640991456;0.20251073280894946;0.4315561439411391;0.20122478461145746;0.44295047957595696;0.20011101124309127;0.4551049042818198;0.1987031651632235;0.46796891640052846;0.19676830009137888;0.48107913600163965;0.19449733121208307;0.4942649293602597;0.1919432029224586;0.5077267026820185;0.1890334812093185;0.5214892656691487;0.18589040360214523;0.5356092009012977;0.1829854875011708;0.5496029316781299;0.18067269058142743;0.5630805970999481;0.1786131001913454;0.5759508505319618;0.17667326228684804;0.5878388664855763;0.17520381479153133;0.5989584606144113;0.17430590223577433;0.6093931962548141;0.17376152314952936;0.6195136315150072;0.17299994988508183;0.6293713547702835;0.17264415136124983;0.6389444478965541;0.17255541233467983;0.6481931753385355;0.17243646367027213;0.6576011151928985;0.17254836490913755;0.6673387592609866;0.17230672518421278;0.6768364297792119;0.1721239729666678;0.6858826026686629;0.1720433019091376;0.6942920199705339;0.17180087438371358;0.702076983626559;0.17171448304041562;0.7091770855658203;0.17141740488321214;0.7151819793056652;0.17098881139812053;0.7203531552636706;0.17031752948722073;0.7248577865121193;0.16957649276240003;0.7289497591780427;0.168957635015581;0.7326179716790682;0.1684395604582464;0.7360321182727294;0.1679738910536598;0.7391159624123395;0.16780921098300172;0.7420627584394794;0.16797661857292814;0.7445411665863901;0.1681248831497301;0.7466478097985488;0.1682849662551061;0.7487289762151319;0.16855031182861827;0.7504940819492119;0.1686193589191054;0.7517175352826392;0.1685811447061924;0.7522380284604809;0.16857696102865002;0.7520227778667063;0.16854479070959397;0.7514280824695919;0.16862581594032694;0.750525809868788;0.168669265738032;0.749391788110104;0.16896589987760793;0.7479746540148887;0.16918189409979112;0.7464275552860568;0.16969252573785706;0.7453533643455618;0.1700960657016684;0.7451740229749849;0.17090968805985943;0.7461819304281223;0.1715307749610142;0.7488567750768923;0.17198174000807812;0.7535759143624374;0.17177188343260064;0.760716705725904;0.17043741946902174;0.7706565066084387;0.16784999464476547;0.7837726744511878;0.1646839560580501;0.8004425666952979;0.16309158322838632
